Violation Description,Fine amount,Quantity,%
24651D,,1.0,1.1856673214316838e-05
226555,,1.0,1.1856673214316838e-05
22503E,,1.0,1.1856673214316838e-05
12003A,,1.0,1.1856673214316838e-05
80721,,1.0,1.1856673214316838e-05
8604,,1.0,1.1856673214316838e-05
80661A,,1.0,1.1856673214316838e-05
5630,,1.0,1.1856673214316838e-05
8014,,1.0,1.1856673214316838e-05
26708CA1,,1.0,1.1856673214316838e-05
PARK NEAR EMERG VEH,63.0,1.0,1.1856673214316838e-05
2250,,1.0,1.1856673214316838e-05
21907A,,1.0,1.1856673214316838e-05
7344K7,,1.0,1.1856673214316838e-05
22900H,,1.0,1.1856673214316838e-05
8609,,1.0,1.1856673214316838e-05
22659D,,1.0,1.1856673214316838e-05
4876,,1.0,1.1856673214316838e-05
2501A,,1.0,1.1856673214316838e-05
OFF STR MTR/NO COIN,58.0,1.0,1.1856673214316838e-05
5203B,,1.0,1.1856673214316838e-05
231113A,,1.0,1.1856673214316838e-05
8060ABC,,1.0,1.1856673214316838e-05
86691C,,1.0,1.1856673214316838e-05
267086,,1.0,1.1856673214316838e-05
22900,,1.0,1.1856673214316838e-05
3000A1,,1.0,1.1856673214316838e-05
574908,,1.0,1.1856673214316838e-05
5304A,,1.0,1.1856673214316838e-05
22562A,,1.0,1.1856673214316838e-05
8051H1,,1.0,1.1856673214316838e-05
52500,,1.0,1.1856673214316838e-05
8064,,1.0,1.1856673214316838e-05
22504,,1.0,1.1856673214316838e-05
225111,,1.0,1.1856673214316838e-05
WRG SD-DUAL RWY,35.0,1.0,1.1856673214316838e-05
572125D,105.0,1.0,1.1856673214316838e-05
2251155A,,1.0,1.1856673214316838e-05
5400,,1.0,1.1856673214316838e-05
5203A,,1.0,1.1856673214316838e-05
2251137,,1.0,1.1856673214316838e-05
8052,,1.0,1.1856673214316838e-05
23112A,,1.0,1.1856673214316838e-05
27465B1,,1.0,1.1856673214316838e-05
5201B2,,1.0,1.1856673214316838e-05
87714,,1.0,1.1856673214316838e-05
26708AE,,1.0,1.1856673214316838e-05
806601D,,1.0,1.1856673214316838e-05
5201E,,1.0,1.1856673214316838e-05
8094,,1.0,1.1856673214316838e-05
5200O,,1.0,1.1856673214316838e-05
6341K7,,1.0,1.1856673214316838e-05
PK/PARALL/CURB,35.0,1.0,1.1856673214316838e-05
6344B4,,1.0,1.1856673214316838e-05
24600E,,1.0,1.1856673214316838e-05
25268,,1.0,1.1856673214316838e-05
8058,,1.0,1.1856673214316838e-05
8502A2,,1.0,1.1856673214316838e-05
8644K7,,1.0,1.1856673214316838e-05
16028A,,1.0,1.1856673214316838e-05
80622,,1.0,1.1856673214316838e-05
80774,,1.0,1.1856673214316838e-05
146011A1,,1.0,1.1856673214316838e-05
80732V,,1.0,1.1856673214316838e-05
CATERING/CENTER CITY,45.0,1.0,1.1856673214316838e-05
08062,,1.0,1.1856673214316838e-05
146011,,1.0,1.1856673214316838e-05
24600D,,1.0,1.1856673214316838e-05
2202A,,1.0,1.1856673214316838e-05
8040A,,1.0,1.1856673214316838e-05
501B,25.0,1.0,1.1856673214316838e-05
221E1,,1.0,1.1856673214316838e-05
22699D,,1.0,1.1856673214316838e-05
